log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,dP/dlog10(nu_E [GeV])
4.500,4.675,4.850,                        2.750,2.925,3.100,                        13.20890845958299
4.500,4.675,4.850,                        3.100,3.275,3.450,                        34.195587937702825
4.500,4.675,4.850,                        3.450,3.625,3.800,                        55.416587846399146
4.500,4.675,4.850,                        3.800,3.975,4.150,                        62.29653593675509
4.500,4.675,4.850,                        4.150,4.325,4.500,                        66.38504321618629
4.500,4.675,4.850,                        4.500,4.675,4.850,                        47.622066352660944
4.500,4.675,4.850,                        4.850,5.025,5.200,                        14.380890283011919
4.500,4.675,4.850,                        5.200,5.375,5.550,                        1.166534051821905
4.500,4.675,4.850,                        5.550,5.725,5.900,                        0.030069657034062214
4.500,4.675,4.850,                        5.900,6.075,6.250,                        0.004577902310762799
4.500,4.675,4.850,                        6.250,6.425,6.600,                        0.0
4.500,4.675,4.850,                        6.600,6.775,6.950,                        0.0
4.500,4.675,4.850,                        6.950,7.125,7.300,                        0.0
4.500,4.675,4.850,                        7.300,7.475,7.650,                        0.0
4.500,4.675,4.850,                        7.650,7.825,8.000,                        0.0
4.850,5.025,5.200,                        1.000,1.175,1.350,                        1.003146107369335
4.850,5.025,5.200,                        1.350,1.525,1.700,                        0.48332471886452183
4.850,5.025,5.200,                        1.700,1.875,2.050,                        0.9261156543140487
4.850,5.025,5.200,                        2.050,2.225,2.400,                        2.5831421319489962
4.850,5.025,5.200,                        2.400,2.575,2.750,                        3.9001975289023942
4.850,5.025,5.200,                        2.750,2.925,3.100,                        12.432963390947991
4.850,5.025,5.200,                        3.100,3.275,3.450,                        21.11544068561369
4.850,5.025,5.200,                        3.450,3.625,3.800,                        37.687998158860665
4.850,5.025,5.200,                        3.800,3.975,4.150,                        46.49735057255998
4.850,5.025,5.200,                        4.150,4.325,4.500,                        50.59041680185165
4.850,5.025,5.200,                        4.500,4.675,4.850,                        57.923258306903634
4.850,5.025,5.200,                        4.850,5.025,5.200,                        42.582138819247156
4.850,5.025,5.200,                        5.200,5.375,5.550,                        12.666804060016458
4.850,5.025,5.200,                        5.550,5.725,5.900,                        0.8860448118297956
4.850,5.025,5.200,                        5.900,6.075,6.250,                        0.059202288678710066
4.850,5.025,5.200,                        6.250,6.425,6.600,                        0.005313104948318024
4.850,5.025,5.200,                        6.600,6.775,6.950,                        0.0
4.850,5.025,5.200,                        6.950,7.125,7.300,                        0.0
4.850,5.025,5.200,                        7.300,7.475,7.650,                        0.0
4.850,5.025,5.200,                        7.650,7.825,8.000,                        0.0
5.200,5.375,5.550,                        1.000,1.175,1.350,                        0.13963327494016076
5.200,5.375,5.550,                        1.350,1.525,1.700,                        0.3967788258615813
5.200,5.375,5.550,                        1.700,1.875,2.050,                        0.8283195732973885
5.200,5.375,5.550,                        2.050,2.225,2.400,                        2.309934357609944
5.200,5.375,5.550,                        2.400,2.575,2.750,                        3.1300333794468798
5.200,5.375,5.550,                        2.750,2.925,3.100,                        14.362091289965129
5.200,5.375,5.550,                        3.100,3.275,3.450,                        20.307701504048076
5.200,5.375,5.550,                        3.450,3.625,3.800,                        39.635831048835
5.200,5.375,5.550,                        3.800,3.975,4.150,                        37.78161494319953
5.200,5.375,5.550,                        4.150,4.325,4.500,                        39.60544555404544
5.200,5.375,5.550,                        4.500,4.675,4.850,                        50.92285860745359
5.200,5.375,5.550,                        4.850,5.025,5.200,                        44.86796534762444
5.200,5.375,5.550,                        5.200,5.375,5.550,                        38.61712124339272
5.200,5.375,5.550,                        5.550,5.725,5.900,                        11.446289804761623
5.200,5.375,5.550,                        5.900,6.075,6.250,                        3.845399675237145
5.200,5.375,5.550,                        6.250,6.425,6.600,                        0.04298157028153564
5.200,5.375,5.550,                        6.600,6.775,6.950,                        0.0
5.200,5.375,5.550,                        6.950,7.125,7.300,                        0.0
5.200,5.375,5.550,                        7.300,7.475,7.650,                        0.0
5.200,5.375,5.550,                        7.650,7.825,8.000,                        0.0
5.550,5.725,5.900,                        1.000,1.175,1.350,                        0.14245070856900868
5.550,5.725,5.900,                        1.350,1.525,1.700,                        0.3399966639584255
5.550,5.725,5.900,                        1.700,1.875,2.050,                        0.3592185782019329
5.550,5.725,5.900,                        2.050,2.225,2.400,                        1.2071370002319897
5.550,5.725,5.900,                        2.400,2.575,2.750,                        2.5482736696296016
5.550,5.725,5.900,                        2.750,2.925,3.100,                        6.084358903874859
5.550,5.725,5.900,                        3.100,3.275,3.450,                        22.301593547326426
5.550,5.725,5.900,                        3.450,3.625,3.800,                        29.284546382061485
5.550,5.725,5.900,                        3.800,3.975,4.150,                        34.34929165958617
5.550,5.725,5.900,                        4.150,4.325,4.500,                        33.82725373156009
5.550,5.725,5.900,                        4.500,4.675,4.850,                        36.15092084673791
5.550,5.725,5.900,                        4.850,5.025,5.200,                        51.65136194574298
5.550,5.725,5.900,                        5.200,5.375,5.550,                        43.91833903124727
5.550,5.725,5.900,                        5.550,5.725,5.900,                        32.3124591525676
5.550,5.725,5.900,                        5.900,6.075,6.250,                        12.158416665135977
5.550,5.725,5.900,                        6.250,6.425,6.600,                        1.2260116252828164
5.550,5.725,5.900,                        6.600,6.775,6.950,                        0.0640841739999757
5.550,5.725,5.900,                        6.950,7.125,7.300,                        0.0
5.550,5.725,5.900,                        7.300,7.475,7.650,                        0.0
5.550,5.725,5.900,                        7.650,7.825,8.000,                        0.0
5.900,6.075,6.250,                        1.000,1.175,1.350,                        0.136009591684963
5.900,6.075,6.250,                        1.350,1.525,1.700,                        0.22271308054914807
5.900,6.075,6.250,                        1.700,1.875,2.050,                        0.4143252490946753
5.900,6.075,6.250,                        2.050,2.225,2.400,                        1.100841350399185
5.900,6.075,6.250,                        2.400,2.575,2.750,                        2.2221937851232454
5.900,6.075,6.250,                        2.750,2.925,3.100,                        5.322122885290452
5.900,6.075,6.250,                        3.100,3.275,3.450,                        12.920486402405118
5.900,6.075,6.250,                        3.450,3.625,3.800,                        20.14746624802789
5.900,6.075,6.250,                        3.800,3.975,4.150,                        31.70693171836121
5.900,6.075,6.250,                        4.150,4.325,4.500,                        29.88307331432639
5.900,6.075,6.250,                        4.500,4.675,4.850,                        36.08183379332898
5.900,6.075,6.250,                        4.850,5.025,5.200,                        48.62091009464027
5.900,6.075,6.250,                        5.200,5.375,5.550,                        39.65699503235354
5.900,6.075,6.250,                        5.550,5.725,5.900,                        40.63402745963812
5.900,6.075,6.250,                        5.900,6.075,6.250,                        37.75860620114645
5.900,6.075,6.250,                        6.250,6.425,6.600,                        17.14479727851399
5.900,6.075,6.250,                        6.600,6.775,6.950,                        0.9906849437070497
5.900,6.075,6.250,                        6.950,7.125,7.300,                        0.024552999980994555
5.900,6.075,6.250,                        7.300,7.475,7.650,                        0.0
5.900,6.075,6.250,                        7.650,7.825,8.000,                        0.0
6.250,6.425,6.600,                        1.000,1.175,1.350,                        0.1158916700298381
6.250,6.425,6.600,                        1.350,1.525,1.700,                        0.15830152866639471
6.250,6.425,6.600,                        1.700,1.875,2.050,                        0.3490689663424355
6.250,6.425,6.600,                        2.050,2.225,2.400,                        0.7559938613723843
6.250,6.425,6.600,                        2.400,2.575,2.750,                        1.8150917425604618
6.250,6.425,6.600,                        2.750,2.925,3.100,                        4.623556411105568
6.250,6.425,6.600,                        3.100,3.275,3.450,                        16.479492712562603
6.250,6.425,6.600,                        3.450,3.625,3.800,                        17.466218886228514
6.250,6.425,6.600,                        3.800,3.975,4.150,                        23.267463848580025
6.250,6.425,6.600,                        4.150,4.325,4.500,                        31.486789394789223
6.250,6.425,6.600,                        4.500,4.675,4.850,                        25.801201371779943
6.250,6.425,6.600,                        4.850,5.025,5.200,                        40.39655542512684
6.250,6.425,6.600,                        5.200,5.375,5.550,                        45.45989733063759
6.250,6.425,6.600,                        5.550,5.725,5.900,                        36.23531564805138
6.250,6.425,6.600,                        5.900,6.075,6.250,                        45.41835326160532
6.250,6.425,6.600,                        6.250,6.425,6.600,                        36.767160855398245
6.250,6.425,6.600,                        6.600,6.775,6.950,                        10.358338538250491
6.250,6.425,6.600,                        6.950,7.125,7.300,                        0.6461246538347079
6.250,6.425,6.600,                        7.300,7.475,7.650,                        0.016326750221127076
6.250,6.425,6.600,                        7.650,7.825,8.000,                        0.0
6.600,6.775,6.950,                        1.000,1.175,1.350,                        0.05326049965211734
6.600,6.775,6.950,                        1.350,1.525,1.700,                        0.22945488107624223
6.600,6.775,6.950,                        1.700,1.875,2.050,                        0.3189865396078466
6.600,6.775,6.950,                        2.050,2.225,2.400,                        0.6244920370202132
6.600,6.775,6.950,                        2.400,2.575,2.750,                        1.444185978511332
6.600,6.775,6.950,                        2.750,2.925,3.100,                        4.159743384664007
6.600,6.775,6.950,                        3.100,3.275,3.450,                        9.466012551711428
6.600,6.775,6.950,                        3.450,3.625,3.800,                        14.60130145969931
6.600,6.775,6.950,                        3.800,3.975,4.150,                        21.94877306908341
6.600,6.775,6.950,                        4.150,4.325,4.500,                        22.786471126591167
6.600,6.775,6.950,                        4.500,4.675,4.850,                        30.2726703672028
6.600,6.775,6.950,                        4.850,5.025,5.200,                        26.61235513239853
6.600,6.775,6.950,                        5.200,5.375,5.550,                        57.90028188835445
6.600,6.775,6.950,                        5.550,5.725,5.900,                        30.45123692315969
6.600,6.775,6.950,                        5.900,6.075,6.250,                        49.33806127954289
6.600,6.775,6.950,                        6.250,6.425,6.600,                        32.91969328967294
6.600,6.775,6.950,                        6.600,6.775,6.950,                        31.320822030773385
6.600,6.775,6.950,                        6.950,7.125,7.300,                        8.340603534187093
6.600,6.775,6.950,                        7.300,7.475,7.650,                        0.1373083128056715
6.600,6.775,6.950,                        7.650,7.825,8.000,                        0.0
6.950,7.125,7.300,                        1.000,1.175,1.350,                        0.045321963262885595
6.950,7.125,7.300,                        1.350,1.525,1.700,                        0.18555596134932073
6.950,7.125,7.300,                        1.700,1.875,2.050,                        0.3526087914872543
6.950,7.125,7.300,                        2.050,2.225,2.400,                        0.6608921205803109
6.950,7.125,7.300,                        2.400,2.575,2.750,                        1.4149252457212942
6.950,7.125,7.300,                        2.750,2.925,3.100,                        3.5983931086852268
6.950,7.125,7.300,                        3.100,3.275,3.450,                        8.963463266996554
6.950,7.125,7.300,                        3.450,3.625,3.800,                        13.666390016819788
6.950,7.125,7.300,                        3.800,3.975,4.150,                        17.804837970498568
6.950,7.125,7.300,                        4.150,4.325,4.500,                        19.444368100447576
6.950,7.125,7.300,                        4.500,4.675,4.850,                        26.786573827679096
6.950,7.125,7.300,                        4.850,5.025,5.200,                        21.554167797133818
6.950,7.125,7.300,                        5.200,5.375,5.550,                        28.38561855766942
6.950,7.125,7.300,                        5.550,5.725,5.900,                        27.05030337447257
6.950,7.125,7.300,                        5.900,6.075,6.250,                        69.6012105273433
6.950,7.125,7.300,                        6.250,6.425,6.600,                        40.330552703359224
6.950,7.125,7.300,                        6.600,6.775,6.950,                        34.27982729446525
6.950,7.125,7.300,                        6.950,7.125,7.300,                        27.020628796713563
6.950,7.125,7.300,                        7.300,7.475,7.650,                        7.358027214151074
6.950,7.125,7.300,                        7.650,7.825,8.000,                        0.11919050402131148
7.300,7.475,7.650,                        1.000,1.175,1.350,                        0.11695416017251768
7.300,7.475,7.650,                        1.350,1.525,1.700,                        0.17374385840365736
7.300,7.475,7.650,                        1.700,1.875,2.050,                        0.11268786131488018
7.300,7.475,7.650,                        2.050,2.225,2.400,                        0.5855839581059008
7.300,7.475,7.650,                        2.400,2.575,2.750,                        1.4598778494104423
7.300,7.475,7.650,                        2.750,2.925,3.100,                        3.4728032586188045
7.300,7.475,7.650,                        3.100,3.275,3.450,                        7.733177465307554
7.300,7.475,7.650,                        3.450,3.625,3.800,                        14.971453553111886
7.300,7.475,7.650,                        3.800,3.975,4.150,                        16.779276787463512
7.300,7.475,7.650,                        4.150,4.325,4.500,                        17.50671642743227
7.300,7.475,7.650,                        4.500,4.675,4.850,                        18.572479105214285
7.300,7.475,7.650,                        4.850,5.025,5.200,                        26.123606298668456
7.300,7.475,7.650,                        5.200,5.375,5.550,                        38.289357062533945
7.300,7.475,7.650,                        5.550,5.725,5.900,                        28.291885657483228
7.300,7.475,7.650,                        5.900,6.075,6.250,                        38.49354539924959
7.300,7.475,7.650,                        6.250,6.425,6.600,                        31.59862404150917
7.300,7.475,7.650,                        6.600,6.775,6.950,                        31.331649424904345
7.300,7.475,7.650,                        6.950,7.125,7.300,                        30.673142659052093
7.300,7.475,7.650,                        7.300,7.475,7.650,                        21.84209150371336
7.300,7.475,7.650,                        7.650,7.825,8.000,                        2.814200811187497
7.650,7.825,8.000,                        1.000,1.175,1.350,                        0.13160243414337197
7.650,7.825,8.000,                        1.350,1.525,1.700,                        0.1708204953194443
7.650,7.825,8.000,                        1.700,1.875,2.050,                        0.21687165778192152
7.650,7.825,8.000,                        2.050,2.225,2.400,                        0.6145565388638424
7.650,7.825,8.000,                        2.400,2.575,2.750,                        1.2243132252006248
7.650,7.825,8.000,                        2.750,2.925,3.100,                        2.766156212247565
7.650,7.825,8.000,                        3.100,3.275,3.450,                        7.323515251620115
7.650,7.825,8.000,                        3.450,3.625,3.800,                        11.21562997690766
7.650,7.825,8.000,                        3.800,3.975,4.150,                        21.16011947243019
7.650,7.825,8.000,                        4.150,4.325,4.500,                        15.364099239133179
7.650,7.825,8.000,                        4.500,4.675,4.850,                        18.029612979807595
7.650,7.825,8.000,                        4.850,5.025,5.200,                        17.604703641922896
7.650,7.825,8.000,                        5.200,5.375,5.550,                        19.28286449720117
7.650,7.825,8.000,                        5.550,5.725,5.900,                        42.18223562544076
7.650,7.825,8.000,                        5.900,6.075,6.250,                        21.19441210886997
7.650,7.825,8.000,                        6.250,6.425,6.600,                        30.10168941592785
7.650,7.825,8.000,                        6.600,6.775,6.950,                        32.89737953783956
7.650,7.825,8.000,                        6.950,7.125,7.300,                        29.553201752809905
7.650,7.825,8.000,                        7.300,7.475,7.650,                        33.50993821850493
7.650,7.825,8.000,                        7.650,7.825,8.000,                        15.759134860884828
